symptom_name	disease_name	cooccurs	tfidf_score	disease_id	symptom_id	doid_code	doid_name
Aging, Premature	Acquired Immunodeficiency Syndrome	3	10.3936544686139	D000163	D019588	DOID:635	acquired immunodeficiency syndrome
Aging, Premature	Breast Neoplasms	1	3.46455148953797	D001943	D019588	DOID:1612	breast cancer
Aging, Premature	Colonic Neoplasms	1	3.46455148953797	D003110	D019588	DOID:219	colon cancer
Aging, Premature	Skin Neoplasms	3	10.3936544686139	D012878	D019588	DOID:4159	skin cancer
Aging, Premature	Osteoporosis	10	34.6455148953797	D010024	D019588	DOID:11476	osteoporosis
Aging, Premature	Arthritis, Rheumatoid	2	6.92910297907594	D001172	D019588	DOID:7148	rheumatoid arthritis
Aging, Premature	Alzheimer Disease	4	13.8582059581519	D000544	D019588	DOID:10652	Alzheimer's disease
Aging, Premature	Myocardial Ischemia	1	3.46455148953797	D017202	D019588	DOID:3393	coronary artery disease
Aging, Premature	Coronary Artery Disease	1	3.46455148953797	D003324	D019588	DOID:3393	coronary artery disease
Aging, Premature	Atherosclerosis	2	6.92910297907594	D050197	D019588	DOID:1936	atherosclerosis
Aging, Premature	Hypertension	1	3.46455148953797	D006973	D019588	DOID:10763	hypertension
Aging, Premature	Scleroderma, Systemic	1	3.46455148953797	D012595	D019588	DOID:418	systemic scleroderma
Aging, Premature	Vitiligo	1	3.46455148953797	D014820	D019588	DOID:12306	vitiligo
Aging, Premature	Diabetes Mellitus, Type 2	2	6.92910297907594	D003924	D019588	DOID:9352	type 2 diabetes mellitus
Aging, Premature	Metabolic Syndrome X	1	3.46455148953797	D024821	D019588	DOID:14221	metabolic syndrome X
Aging, Premature	Obesity	2	6.92910297907594	D009765	D019588	DOID:9970	obesity
Fever	Acquired Immunodeficiency Syndrome	74	45.801384788964	D000163	D005334	DOID:635	acquired immunodeficiency syndrome
Fever	Breast Neoplasms	107	66.2263266543128	D001943	D005334	DOID:1612	breast cancer
Fever	Colonic Neoplasms	27	16.711316071649	D003110	D005334	DOID:219	colon cancer
Fever	Skin Neoplasms	44	27.2332558204651	D012878	D005334	DOID:4159	skin cancer
Fever	Osteoporosis	3	1.85681289684989	D010024	D005334	DOID:11476	osteoporosis
Fever	Arthritis, Rheumatoid	54	33.422632143298	D001172	D005334	DOID:7148	rheumatoid arthritis
Fever	Alzheimer Disease	10	6.18937632283297	D000544	D005334	DOID:10652	Alzheimer's disease
Fever	Myocardial Ischemia	10	6.18937632283297	D017202	D005334	DOID:3393	coronary artery disease
Fever	Coronary Artery Disease	23	14.2355655425158	D003324	D005334	DOID:3393	coronary artery disease
Fever	Atherosclerosis	2	1.23787526456659	D050197	D005334	DOID:1936	atherosclerosis
Fever	Hypertension	30	18.5681289684989	D006973	D005334	DOID:10763	hypertension
Fever	Scleroderma, Systemic	10	6.18937632283297	D012595	D005334	DOID:418	systemic scleroderma
Fever	Diabetes Mellitus, Type 2	3	1.85681289684989	D003924	D005334	DOID:9352	type 2 diabetes mellitus
Fever	Obesity	17	10.521939748816	D009765	D005334	DOID:9970	obesity
Fever	Leprosy	10	6.18937632283297	D007918	D005334	DOID:1024	leprosy
Fever	Hepatitis B	12	7.42725158739956	D006509	D005334	DOID:2043	hepatitis B
Fever	Malaria	284	175.778287568456	D008288	D005334	DOID:12365	malaria
Fever	Leiomyoma	13	8.04618921968286	D007889	D005334	DOID:13223	uterine fibroid
Fever	Myosarcoma	3	1.85681289684989	D009217	D005334	DOID:4045	muscle cancer
Fever	Glioma	3	1.85681289684989	D005910	D005334	DOID:3070	malignant glioma
Fever	Melanoma	43	26.6143181881818	D008545	D005334	DOID:1909	melanoma
Fever	Retroperitoneal Neoplasms	10	6.18937632283297	D012186	D005334	DOID:5875	retroperitoneal cancer
Fever	Esophageal Neoplasms	14	8.66512685196616	D004938	D005334	DOID:5041	esophageal cancer
Fever	Rectal Neoplasms	13	8.04618921968286	D012004	D005334	DOID:1993	rectum cancer
Fever	Stomach Neoplasms	26	16.0923784393657	D013274	D005334	DOID:10534	stomach cancer
Fever	Liver Neoplasms	81	50.133948214947	D008113	D005334	DOID:3571	liver cancer
Fever	Pancreatic Neoplasms	13	8.04618921968286	D010190	D005334	DOID:1793	pancreatic cancer
Fever	Ovarian Neoplasms	47	29.0900687173149	D010051	D005334	DOID:2394	ovarian cancer
Fever	Head and Neck Neoplasms	12	7.42725158739956	D006258	D005334	DOID:11934	head and neck cancer
